Names,Meanings,Sentences,Collocations,Tags,Pronunciations,Level,Name
in a sense that -,〜という意味で,"The project was successful in a sense that it met all the client’s requirements. そのプロジェクトは、クライアントのすべての要件を満たしたという点で成功しました
This tool is useful in a sense that it simplifies complex processes. このツールは複雑なプロセスを簡略化するという意味で役に立ちます",,,,,in a sense that -
make it so that -,〜が〜するようにする,Let’s organize the project files to make it so that all team members have easy access. プロジェクトファイルを整理して、全てのチームメンバーが簡単にアクセスできるようにしましょう,,,,,make it so that -
wouldn't put it past 人 to do,〜なら〜してもおかしくない、やりかねない,"I wouldn’t put it past him. 彼ならそうしかねない
I would not put it past John to take all of those stray cats home. ジョンなら、野良猫を全部を家に連れて帰りかねない",,,,,wouldn't put it past 人 to do
overjoy,狂喜する,,,,,,overjoy
trash,ごみ、くだらないもの、非難する、捨てる,,,,,,trash
fertility rate,出生率,,,,,,fertility rate
overdose,（薬剤・麻薬などを）過剰摂取する,,,,,,overdose
segregate,隔離する、人種差別する,,,,,,segregate
neglect,育児放棄,,,,,,neglect
things like that,〜など,,,,,,things like that
something like that,そんな感じです,,,,,,something like that
right or wrong,是が非でも？良いか悪いかはわからないが？,,,,,,right or wrong
or something,〜とか何か,"Do you wanna see a movie or something? 映画かなんか観たい？
What is she doing? - Maybe she’s cleaning the bathroom or something.",,,,,or something
if not the best in the world,世界一とは言わないまでも？,,,,,,if not the best in the world
I can't think of one,思いつかない？,,,,,,I can't think of one
for example,例えば,,,,,,for example
etc.,〜など(主に書き言葉),"I have so much yarn, fabric, needles, pins, etc.",,,,,etc.
concentrate,集中させる、集中する、専念する、密集する,,,,,,concentrate
and so on,〜など(似たようなものに対して),,,,,,and so on
actually,本当は、実際には、実は,きちんと謝ることは本当は当たり前のことなのに、なぜか礼儀正しく思える,,,,,actually
"tired (from A)
tired of A
tiring
tiredness","(〜で)疲れている
〜に飽きている
疲れさせるような
疲労、疲労感","I'm tired of hearing it.
My work is mentally tiring.
I don't know if it's tiredness or hunger, but I feel a bit grumpy right now.",,"医療, 感情",,,tired (from A)
relieve stress,ストレスを発散する,,,"医療, 感情",,,relieve stress
"pain
painful","痛み、苦痛
痛みがある","I have a pain in my leg.
This cream should help to relieve the pain.
These pills should ease the pain.
Nothing could heal the pain of her son's death.
I have a painful knee.",,医療,,,pain
"care
care about A
careful
careless
caring","世話、サポート、気に掛ける、気にする、心配する、世話をする、介護する
〜を気にする
慎重な、注意深い
不注意な、いい加減な、気楽な、ぼんやりとした
面倒見が良い","Some people were badly injured and needed medical care.
With proper care, the plants may last for fifty years.
His wife cared for him during his illness. 病気の間妻が彼の世話をした
He doesn’t care about his grades. 彼は自分の成績を全く気にしない
Alan cares a lot about clothes. アランは服装をとても気にする
The only thing he cares about is money. 彼はお金のことしか頭にない",,"人, 医療",,,care
"anxious
anxiety","心配な、気になる、切望して
心配、不安、切望","I'm anxious about his health. 彼の健康が心配だ
The interview didn’t go well and I’m anxious about the result.
*I'm a bit anxious about the life afeter I go to Canada in terms of money.
*Preparation for varisous things is really important for me not to be anxious.",,"医療, 感情",,,anxious
"vary
vary with A
vary between A and B
various
variously
variety","異なる
〜によって異なる
〜の間である
様々な
色々
多様さ、種類","*The way of having a happy life varies widely.
The menu varies with the season.
Class numbers vary between 25 and 30.
Jim has been described variously as a calm, emotional and lazy man, so who knows if he is actually a good person. ジムは静かだとか感情的とかだらけてるとか色々言われているから、彼は本当に良い人なのかは誰もわからないね 
They are variously named coaches, carriages or compartments. それらはコーチとかキャリッジっとかコンパートメントとか色々な呼び方をされる
His fortune has been variously estimated at between $1 and $2 billion.
The family has been described variously as crass, bigoted, and plain boring.
The concept of freedom has been variously understood by different people.","said
called
namd
described",便利,veriəs,,vary
"value
values
valuable
valuables","価値、大切さ、値段、ありがたみ、高く評価する、大事にする
価値観
価値のある
貴重品","The value of regular exercise should not be underestimated.
The library's value to the community is enormous.
You should value those who value you. あなたを大事にしてくれる人を大事にしなさい
We need to be guided by our moral values.
*My car is not very valuable.",,"便利, 良さ",,,value
"trend
trendy","流行り
流行している","What's the latest music trend in Japan?
There is an increasing trend for students to live at home. 
The article discusses current trends in language teaching.
There has been an upward trend in the number of accidents reported.
This downward trend in sales is likely to continue.
Regional growth figures are following the national trend.
If this trend continues, the species could soon become extinct. 
The number of visitors to the city is showing an upward trend.
I love going to trendy new resraurants every now and then.",,便利,,,trend
"solve
solution","解決する
解決策","We need to focus on solving this problem.
Do you have a better solution?
We need to make sure that it is a realistically workable solution.
Attempts to find a solution have failed.","find[look for / seek]
propose[offer/provide]
long-term/short-term
possible
peaceful
real
realistic
effective
simple
innovative",便利,sɑːlv,,solve
"skill
skilled
skillful
skillfully","スキル、能力
熟達した、熟練した
高度な技術を持った
巧みに、上手に","I think my accounting skills will come in handy when I start my own business.
She wasn't very skilled with the camera yet.
It takes a lot of practice to become a skillful surfer.
He skilfully steered the conversation to a safer topic.",,便利,,,skill
"sign
signify","しるし、兆候
意味する、表す、示す","Headaches may be a sign of stress.
The first signs of spring appeared.
The fact that he didn't say ‘no’ immediately is a good sign.
If I had noticed the warning signs, none of this would have happened.
Her work is showing some signs of improvement. 彼女の仕事は、少しずつ改善の兆しを見せています",,便利,,,sign
secret,秘密、秘訣、隠れた,"Details of the proposals remain secret.
His secret fear was that Jenny would leave him.
I had a secret ambition to return to politics.",,便利,,,secret
"origin
original",,I find theories on the origins of the human race fascinating. 人類の起源を巡る理論って面白いんだよ,,便利,,,origin
"mind
mindful of A","心、頭脳、精神、知性
〜に気を配る、〜を心がけている","He had closed his mind to anything new. 彼は新しいものに対して心を閉ざしていた
She was in a disturbed state of mind. 彼女の心は乱れていた
I felt refreshed in mind and body. 心身共にスッキリしました
I could not have complete peace of mind before they returned. 彼らが帰ってくるまで完全に安心することはできなかった
There were all kinds of thoughts running through my mind. いろいろな考えが頭をよぎりました
I am mindful of going to bed and waking up early. 私は早寝早起きを心がけている
He is always mindful of his health. 彼はいつも健康に気を遣っている
*I'm mindful of constantly carrying an umbrella with me for sudden rain.",,便利,,,mind
lack of,〜が足りていない、不足,"She couldn't study abroad for lack of money. 彼女は資金不足で留学できなかった
Too many teachers are treated with a lack of respect. 敬意を欠いた扱いを受けている先生が多すぎる
She showed a complete lack of interest in her own baby. 彼女は自分の子供に全く興味を示さなかった
Does their apparent lack of progress mean they are not doing their job properly? そんなに進捗が悪いってことは適切に仕事をできていないってこと？
He has no lack of experience, but his personality is something of a problem. 彼は経験に不足はないが人格に問題がある
There was no lack of willing helpers. 喜んで協力してくれた人は十分いた？
Jack is an intelligent pupil, but he lacks motivation. ジャックは賢い生徒だがあまりやる気がない","time
money
interest
comprehension",便利,,,lack of
key,鍵、鍵となる、重要な,"What's the key to a successful life? 人生の成功の鍵は何ですか？
Working well as a team is the key to success. チームで上手くやることが成功の鍵です
The president makes all the key decisions on foreign policy. 外交政策の重要な決定は、すべて大統領が行います",,便利,,,key
idea,考え、考え方、考えていること、イメージ、目的、意見,,,便利,,,idea
field,分野、領域、農地,"I want to study commerce, but I don't know what specialize in because it's such a broad field.",,便利,,,field
"fault
faulty / faultless","失敗、責任、欠点、短所、欠陥
欠陥のある / 欠陥のない","I didn’t sleep well that night, but it was my own fault.
Why should I say sorry when it's not my fault?
It's nobody's fault.
It's your own fault for being careless.
I think the owners are at fault for not warning us. 警告しなかったオーナーに落ち度があると思います
I think my worst fault is impatience.
She is blind to all her son's faults.
There seemed to be some fault with the cooling system.
We're trying to correct the faults in the program.
The system, for all its faults, is the best available at the moment. このシステムは、欠点はあるものの、現時点では最高のものだと思います",,便利,,,fault
chance,機会、可能性,"Chances of advancement are good although you may have to move agencies to get it. 昇進の可能性は高いですが、そのためには会社を移動しなければならないかもしれません
*There's little chance of me living in Canada for good, so I'm not going to enter a public college.",,便利,,,chance
"challenge
challenging","ポジティブな困難、挑戦、壁
難しい、困難な","*Staying in a foreign country will be a big new challenge for me, so I'm a bit worried but excited at the same time.","tough
major
biggest
new
exciting
face",便利,,,challenge
accident,事故,"*I had an car accident and got injured when I was a student.
The event went really well without any accidents. イベントは無事終了しました","car
traffic
serious
minor
happen
cause",便利,,,accident
I guarantee -,絶対に〜である,,,意見,,,I guarantee -
I wouldn't say - but -,〜とは言わないまでも,"I wouldn't say that your dog is skin and bones, but he's definitely one of the skinnier dogs that I've seen. あなたの愛犬はガリガリとまでは言わないけど、僕が見てきた中では間違いなく痩せている部類に入るね",,意見,,,I wouldn't say - but -
no wonder -,〜でも驚かない、どうりで〜なわけだ,No wonder you speak English so well.,,意見,,,no wonder -
with,〜(一般的な概念)に関して言うと,"With losing weight, the key is to be realistic. A mistake a lot of people make when they first start out is set unrealistic goals for themselves.
With children, you can't expect them to be studying all the time. 子供にはいつも勉強することを期待してはいけない",,意見,,,with
what's 形容詞 (about A) is -,(〜について)〜なのは,,,意見,,,what's 形容詞 (about A) is -
what's more,その上、さらに,"She’s good at drawing, and what’s more she’s good at design. 彼女は絵を描くのが上手で、さらにデザインも得意だ",,意見,,,what's more
There's nothing like A,〜ほど最高のものはない,*There's nothing like water you drink after workout.,,"好み, 意見, 良さ",,,There's nothing like A
"there is no way (that) -
there is no way of A
there is no way to do","〜なんてあり得ない
〜しようがない、〜する術がない
〜しようがない、〜する術がない","There's no way I'm going. 絶対に行かない
There’s no way he’s gonna say yes. 彼は絶対OKしてくれないよ",,意見,,,there is no way (that) -
"that[this] is the case
that[this] is not the case","そのとおりです
(この場合)それは正しくない、そうではない","That's the case in Japan as well. 日本でも同様です
If that’s the case, I’m not gonna go. そういうことなら私は行かない
I don’t mind even if that is the case. そうだとしても構いません
That’s not always the case. 必ずしもそうじゃない
I haven't seen Tom lately. Is he on vacation? - No, that's not the case. He's been sick for a while.
This is not the case in the US. 米国ではそうではないようです
This is not the case for me. 私の場合はそうではありません
*Something unexpected might happen, but even if this is the case, that'll be not a problem.",,意見,,,that[this] is the case
something tells me (that) -,なんだか〜な気がする、風の噂で〜と聞いた,"Something tells me he will be back soon.
Somehow... something tells me that Hank is here because of you.
Something tells me we should get out of this old building.",,意見,,,something tells me (that) -
personally,個人的には,,単語,意見,,,personally
or (else),そうでなければ、さもないと、あるいは,"You'd better leave now, or else you'll miss your plane.
A woman who says she is tired of fashion is pretending, or else she is deceiving herself.",,意見,,,or (else)
"not many A
not everyone","〜する〜は多くない
〜する人は多くない","Not many people know about that.
*Not many Japanese high school students choose to study abroad.",,意見,,,not many A
more of,というより、どちらかと言うと,"I was more of a Dragons fun. どちらかというとドラゴンズファンでした
A modern cellphone is more of a computer than a telephone. 現代の携帯電話は電話というよりコンピュータだね",,意見,,,more of
might as well,〜した方が良い、せっかくだから〜しよう、〜しない手はない、〜するしかない、〜みたいなものだ,"I'm gonna have some time off. so I might as well use it. 折角休みをもらえるんだから、それを使わない手はないよ
I don't know when my next chance will be, so, I might as well. 次のチャンスがいつになるかわからないし、折角だから、やってみるよ
Are you gonna work late tonight? - I might as well. I have nothing else going on. 今夜は遅くまでやっていくのかい？ - 折角だからね。他にやることもないし
Since everyone left, I might as well go now. 皆帰ったから、僕もそろそろ帰ったほうがいいかな
It's not free, but it might as well be free. ただじゃないけど、ただみたいなもんだよ
If the battery is dead, the flashlight might as well be a piece of garbage. バッテリーが切れたら、このスマホはただの鉄の塊と同じだ
Might as well! せっかくだしね",,"意見, 未来",,,might as well
just because - doesn't mean -,〜だからといって〜というわけではない,"Wait, just because he's into golf, doesn't mean he wants it.",,意見,,,just because - doesn't mean -
it's[how] amazing[surprising] of you to do,よく〜できるね,How amazing of you to realize that!,,意見,,,it's[how] amazing[surprising] of you to do
it's a good idea to do,〜するのも良い,"It’s a good idea to wear sunscreen every day.
*It's a good idea to adopt a new app to manage our schedule.",,意見,,,it's a good idea to do
if not,そうでない場合,"Are you going to eat this? If not, I'll eat it. これ食べるの？そうでないなら、私が食べるよ",,意見,,,if not
I doubt -,〜とは思わない,*I doubt Japan's pension system will be still functioning in 30 years. 今の年金制度が30年後も成り立つとは思えない,汎用,意見,,,I doubt -
how can[could/do] you do 〜 ?,よくそんなことができるね、〜しないなんてありえない,"*How can you work for such a long time every day?
*How can you not be anxious about your future without studying?
*How do you remember what was written so exactly?
How do you notice these things? よくこんな細かいミスに気づけるね
How could you not drop your phone like that? それでよくスマホ落とさないね",,意見,,,how can[could/do] you do 〜 ?
How about we do ?,〜しない？、〜するのはどう？,"How about we get some pizza? ピザにしない？
How about we go tomorrow? 明日行くのはどう？",,意見,,,How about we do ?
"find A 形容詞/名詞
find A 形容詞/名詞 to do
find A 形容詞/名詞 that",〜だと思う,"She finds meeting new people a strain.
You're lucky if you do a job you find interesting.
I find it amazing that they're still together.
*I find Canada a great country that it has so beautiful nature.
*I find it interesting to roam around Tokyo with no purpose.
*Some people find tall buildings beautiful, and I'm one of them.",汎用,意見,,,find A 形容詞/名詞
as[so] long as,〜の限り、〜の場合,"As long as I stay healthy, I want to continue this job.
We are very happy for you to stay at our house as long as you like.
You can borrow the car so long as you don’t drive too fast.",,"意見, 論理",,,as[so] long as
as for A,〜について言えば、〜で言えば,"As for Jo, she's doing fine.
As for food for the party, that's all being taken care of.",,意見,,,as for A
as far as I'm concerned,私の考えるところでは、私に言わせれば、私的には、私は大丈夫です,"Mary, what's your opinion? - As far as I'm concerned, the first plan is the best.
Do you mind if I open the window? - As far as I'm concerned.",,意見,,,as far as I'm concerned
"as far as I know
as far as I'm aware","私の知っている限り
私の認識している限り","Did the Thai restaurant by the lake go out of business? - As far as I know, it's still there.
It only lasted a couple of years, as far as I know.
As far as I know, there are not many books oriented towards kids that have the kind of environmental consciousness. 私の知る限りでは、子ども向けの本でこうした環境意識のあるものは多くない
Has John paid the phone bill? - Not as far as I'm aware. ジョンって携帯料金払ったのかな？ - (知る限り)払ってないと思うよ
*As far as I know, we haven't receive the deliverables from A.inc.
*Is Ito-san absent today? - He's not, as far as I know.","haven't
still",意見,,,as far as I know
A is not everything,〜が全てではない,"*Outer beauty is important because it can make us more confident, but it's not everything.",,意見,,,A is not everything
", or",そうでなければ、そうでないと,"You should go talk to him, or you will be in trouble. 彼と話したほうがいいよ。そうでないと問題になるよ
*I study pretty much every day, or other engineers will overtake me in no time.",,意見,,,", or"
"in that[this] case
in which case",そうなると、そういう場合,"The traffic could be heavy tomorrow. - In that case, we better leave early.",,論理,,,in that[this] case
to a XX extent,〜くらいの程度,"To a certain extent, we are all responsible for this tragic situation.
To some extent what she argues is true.
The pollution of the forest has seriously affected plant life and, to a lesser extent, wildlife. 森林の汚染は、植物や、程度は小さいが野生動物にも深刻な影響を与えています
To what extent does cutting down trees contribute to climate change? 森林伐採は気候変動にどの程度寄与しているんですか？
The report focused on the use of speed cameras, particularly the extent to which they reduced accidents. その報告書では、スピードカメラの活用、特に事故がどの程度減少したかに焦点が当てられています",,程度,,,to a XX extent
relatively,比較的,"I found the test relatively easy.
At the time, the internet was a relatively new phenomenon.
Relatively few were smokers.
Relatively speaking, these jobs provide good salaries.","high/low
large/small
few[little]
new/old
easy/hard[difficult]",程度,,,relatively
pretty much,ほとんど、大方、かなり,"Canadian english is pretty much the same as American English.
I read a book pretty much every day. 大体毎日読書をします
I eat pretty much anything. 大体何でも食べます
You can see vending machines pretty much anywhere in Japan.",,程度,,,pretty much
mostly,多くは、ほとんどは,The students mostly don't study hard in the school. その学校の生徒のほとんどは真面目に勉強しない,,程度,,,mostly
"incredible
incredibly","信じられない、素晴らしい
信じられないほど、非常に、極めて","Did you start your onw company? That's incredible.
His knowledge of the TV industry is incredibly vast.",,"程度, 良さ",,,incredible
"in most cases
in many cases
in some[certain] cases","ほとんどの場合
多くの場合
場合によっては","In most cases the increases have been marginal. ほとんどの場合、その増加はわずかなものでした
In many cases it is the pressure of the job that causes managers to behave like this. 多くの場合、マネージャーがこのような行動をとるのは、仕事のプレッシャーが原因です",,程度,,,in most cases
"basic
basically","基礎的な、基本的な
基本的には","They haven't even given us the most basic information we need.
*My knowledge about the functon is very basic.","information
knowledge
understanding
question
training",程度,,,basic
"apparent
apparently","明らかな
どうやら〜らしい","It's becoming apparent that Ben has no idea what he's doing. ベンが自分で何をしているのかわからないということが段々明らかになってきたよ
*I considered him a nice person at first, but It gradually became apparent that he was arrogant.
Apparently they are getting divorced soon. どうやら彼らはもうすぐ離婚するらしい
I thought she had retired, but apparently she hasn't. 彼女、退職してた思ってたけどどうやらしていないみたい
*Apparently he's still in our company.",,程度,,,apparent
a little bit of A,少し〜だ、少し〜なところがある,She was a little bit of a tiger mom. 彼女は少し教育ママのような感じだ,,程度,,,a little bit of A
a A or two,多少、少しくらいの,"She knows a thing or two about coding. 彼女は、コーディング関して多少のことなら知っています
My dad taught me a thing or two about cars. 父さんが車についていくつか教えてくれた
She’ll be just fine in a month or two. 彼女は一月や二月で良くなるだろう
Would you give us a word or two of advice? アドバイスを一言頂きたいのですが",,程度,,,a A or two
the whole day,一日中,"*I was watching a baseball game the whole day.
*Were you sleeping the whole day?",,時間,,,the whole day
over[for/in] the last[past] few[couple of/several] years[months/weeks/days],ここ数年[数ヶ月/数週間/数日]で,"I've seen her several times over the past few days.
The cool mornings have continued here for the last several days.
*So many bubble tea shops have opened over the past few years in Japan.",,時間,,,over[for/in] the last[past] few[couple of/several] years[months/weeks/days]
once,一度、かつて,,,時間,,,once
on the way (from A) (to B),〜の途中で、近くに来ている、〜しつつある,"I’m on the way from work. I’ll be home in 10 min.
I saw my classmate on the way to the library.
It’s getting warmer lately. Spring is on the way. 最近暖かくなってきた。春はもうすぐだ
He is on the way to recovery. 彼はもうすぐ回復する見込みだ
This country is on the way to economic recovery. この国は経済回復の途中にある",[season],時間,,,on the way (from A) (to B)
N minutes of A,N分[時間/年]のA,"*Five minutes of exercise is enough to me.
*I have (over) five years of experience in software engineering.",,時間,,,N minutes of A
in XX years[seconds/minutes/hours/days/weeks/months],,,,時間,,,in XX years[seconds/minutes/hours/days/weeks/months]
"in the past
in times past",過去に、以前は,"I used to go there often in the past.
In times past, before telephones and the Internet, we relied on our family and neighbors for nearly every aspect of our lives.",独立,時間,,,in the past
in the long run,,It seems a lot of effort but I'm sure it's the best solution in the long run.,,時間,,,in the long run
in the future,将来、いつか,,,時間,,,in the future
in N days[weeks/months/years],N日後,,,時間,,,in N days[weeks/months/years]
in (next to) no time,すぐに、長い時間かからず,"Working together, they cleaned the entire house in no time.
He's going to be just fine. At his age he'll heal in no time.
*Without recap, I will forget what I learned in no time.
He expects to be out of prison in next to no time.",,時間,,,in (next to) no time
haven't done for N days,N日経過した,I haven’t taken an English lesson for months! もう何ヶ月も英語のレッスンをしていません,,時間,,,haven't done for N days
for[in/over] the past[last] few[several/couple of] years,ここ数年、ここ数年で,"*Prices in Japan are getting high for the past few years.
*People trying to be an IT engineer are increasing over the last several years.",,時間,,,for[in/over] the past[last] few[several/couple of] years
for the first time in N days,N日ぶり,"I met my old classmate for the first time in 10 years.
*I'm taking a lesson for the first time in two weeks.",,時間,,,for the first time in N days
for now,今のところ、とりあえず今は,*I'm thinking about ignoring this problem for now.,,時間,,,for now
for hours,何時間もの間、何時間でも,,,時間,,,for hours
for a (short/long) while,しばらくの間、さっきからずっと、少しの間、長い間、久しぶりに？,"They chatted for a while.
I only stayed for a short while.
He is fitter now than he has been for a long while.
He's attended a meeting for a long while.",,時間,,,for a (short/long) while
first A in N days,〜日ぶりの〜,This is my first English lesson in 5 days. これが5日ぶりの英語のレッスンです,,時間,,,first A in N days
by then,それまでに,,,時間,,,by then
back in the day,昔は,,,時間,,,back in the day
at that moment,ちょうどそのとき,,,時間,,,at that moment
along the way,〜の途中で、〜の間、それをする中で、ここに至るまでに,"She addressed the criticism she had faced along the way. 彼女はこれまでに直面してきた批判について語った
You'll learn something along the way.
Somewhere along the way I lost my wallet.
It was a long bus ride but the children sang songs along the way.
When I went to work I kept seeing homeless people along the way.
The research project was completed but they had many problems along the way.",,時間,,,along the way
all the time,いつも、今までずっと,I have been regretting all the time. ずっと後悔している,,時間,,,all the time
all day (long),一日中,*I was watching videos on YouTube all day long.,,時間,,,all day (long)
(just) a while[moment/minute] ago,先ほど、少し前に,"Have you checked the email I sent you a while ago? 先ほど送ったメールを確認してもらえましたか？
The movie started just a minute ago. その映画はついさっき始まった",,時間,,,(just) a while[moment/minute] ago
would you mind if I asked[ask] you - ?,差し支えなければ,"Would you mind if I asked you a question?
Would you mind if I asked you how much it cost?",,依頼,,,would you mind if I asked[ask] you - ?
would you be able to do?,〜してもらうことはできますか？,Would you be able to photocopy these documents for me? この書類をコピーしていただけますか？,,依頼,,,would you be able to do?
will you do?,〜してください,,,依頼,,,will you do?
let's say,"もし〜だとしたら
〜はどうでしょう","Let's say you're free to go anywhere in the world. Where would you go? たとえば、世界中どこへでも行けるとしたら、どこへ行く？
Let's say you find 10,000 yen on the ground. What would you do? たとえば、落ちている１万円を見つけたとしたら、どうする？
Let's say 10:30 at the lobby of the Pacific Hotel? パシフィックホテルのロビーに10 時半はどうでしょう？",,依頼,,,let's say
do you want to do?,〜しない？、〜してくれない？,"Do you want to go to a movie with me? 映画観に行かない？
Do you want to wash the dishes? お皿洗ってもらえない？",汎用,"依頼, 意見",,,do you want to do?
do you mind doing?,〜してもらえませんか？,"Do you mind opening that window? あの窓を開けてもらえませんか？
*Do you mind sharing the screen to explain it?",汎用,依頼,,,do you mind doing?
(please) remember to do,忘れず〜してください,Please remember to lock the door.,,依頼,,,(please) remember to do
(please) don't forget to do,忘れず〜してください,,,依頼,,,(please) don't forget to do
upset,動揺させる、乱す、ひっくり返す、体調を悪くさせる,"*When I found out I didn't have my wallet. I pretended calm, but actually I was really upset in my heart.
There's no point getting upset about it.",,感情,,,upset
"sense
sensitive","感覚、気持ち、意識
繊細な","He has an excessive sense of his own self-importance. 
If something goes wrong, just use your common sense. もし何かが上手くいかなかったら常識で考えれば良い
Some people are brilliant thinkers, but they have no common sense. 頭脳明晰であっても常識のない人はいます
Locking your doors at night is simple common sense. 夜にドアに鍵をかけることは当たり前のことです
I had a sense that I was going to win. 勝てるような気がした
Afterwards, I felt a great sense of relief. その後、大きな安心感を得ることができました
There’s no sense in getting upset about it now. 今さら騒いでも意味がありません","self-importance
accomplishment
direction
justice
relieve
common","人, 便利, 感情",,,sense
"satisfy
satisfied with
satisfying
satisfactory
(satisfying > satisfactory)","満足させる
〜に満足している
満足させるような、満足感のある
特定の基準を満たしている、客観的に見て及第点?","The meal was satisfying. その食事は素晴らしかった
The meal was satisfacotry. その食事は良かった(が、特別満足するものでもなかった)",,"感情, 良さ",,,satisfy
"relieve
relief
reliever",,"I'm relieved. 安心しました
I was relieved to hear that.
*I was relieved that my credit card was not used.
It was a relief to reach the safety of our home at last. やっと我が家が安全になってひと安心した
It is actually a relief that it's finally happened.
This was a great relief to him.
What a relief!",,感情,,,relieve
"relate
relatable
relational
relation
relationship","関連がある、共感する
関係づけられる、共感できる
関係を示す
関連、関係 *主に国家間など
関係、結びつき *主に人同士","I can totally relate to that. それ本当に共感できる
We seek to improve relations between our two countries.
She has a very close relationship with her sister.
I have established a good working relationship with my boss.",,感情,,,relate
full of A,〜でいっぱい、〜の気持ちでいっぱい,"The cup is full of water.
The station is full of people.
The park is full of nature.
My arms were full of shopping bags.
He is full of fight. (He is willing to fight)","people
fun","感情, 程度",,,full of A
feel 形容詞 about A,〜について申し訳なかった,I feel bad about being late. 遅れて申し訳ないです,,感情,,,feel 形容詞 about A
"fear
fearless","恐れる、恐れ、不安、懸念
大胆不敵な","All his employees fear him.
The child was shaking with fear.
Fear of crime can affect people's lives.
Alan spoke of his fears for the future.
We lived in constant fear of losing our jobs.
Women should be able to work without fear of harassment.
My biggest fear was that my children would get sick.",,"人, 感情",,,fear
"concern
concerned about A","関係する、心配させる
〜について懸念している","Please pay attention because this information concerns all of you.
What concerns me is our lack of preparation for the change.
I’m concerned about a few things regarding the cut over.
*I'm a little concerned about the job after getting back from Canada.",,感情,,,concern
"can't help doing
can't help myself from doing",つい〜してしまう、〜せずにはいられなくなる *感情や意志をコントロールできない状態,"I can’t help laughing whenever I hear the story.
I can’t help thinking about my weakness.
I can’t help buying products even when I don’t have money.
I couldn't help myself from laughing.",,感情,,,can't help doing
can't decide if[what/...],〜を迷っている、決められない,"I can’t decide if I should continue pursuing my career or travel the world. 仕事を続けるか旅行に行くか迷っている
*I can't decide what program I'm going to take in Canada.",,感情,,,can't decide if[what/...]
